prompt,query
"Show all vehicles that are blue or green.","SELECT vehicle_no, color FROM VEHICLE_MASTER WHERE UPPER(color) IN ('BLUE', 'GREEN');"
"Find FIRs with more than 3 arrests.","SELECT F.fir_no, COUNT(A.arrest_id) AS arrest_count FROM FIR F JOIN ARREST A ON F.fir_id = A.fir_id GROUP BY F.fir_no HAVING COUNT(A.arrest_id) > 3;"
"Get a list of all officers and the number of FIRs they have filed.","SELECT O.officer_name, COUNT(F.fir_id) AS fir_count FROM OFFICER O LEFT JOIN FIR F ON O.officer_id = F.officer_id GROUP BY O.officer_name ORDER BY fir_count DESC;"
"List FIRs that are not assigned to any officer.","SELECT fir_no, incident_date FROM FIR WHERE officer_id IS NULL;"
"Find the percentage of vehicles that are 'missing'.","SELECT (SELECT COUNT(*) FROM VEHICLE_MASTER WHERE UPPER(vehicle_status) = 'MISSING') * 100.0 / COUNT(*) FROM VEHICLE_MASTER;"
"Show the case status for FIR number 'FIR-2025-00001'.","SELECT status FROM FIR WHERE fir_no = 'FIR-2025-00001';"
"List all FIRs from police station ID 205.","SELECT fir_no, incident_date, status FROM FIR WHERE police_station_id = 205;"
"Find all accused people arrested for burglary last month.","SELECT A.accused_name, A.arrest_date FROM ARREST A JOIN FIR F ON A.fir_id = F.fir_id WHERE LOWER(F.incident_type) = 'burglary' AND F.incident_date >= ADD_MONTHS(TRUNC(SYSDATE, 'MM'), -1) AND F.incident_date < TRUNC(SYSDATE, 'MM');"
"Get total FIRs filed in each area type per district.","SELECT D.district_name, PS.area_type, COUNT(F.fir_id) AS fir_count FROM FIR F JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id JOIN DISTRICT_MASTER D ON PS.district_code = D.district_code GROUP BY D.district_name, PS.area_type ORDER BY D.district_name, PS.area_type;"
"List the 5 newest officers in the force.","SELECT officer_name, join_date FROM OFFICER ORDER BY join_date DESC FETCH FIRST 5 ROWS ONLY;"
"Find out if vehicle 'KA05MN4567' has ever been reported missing.","SELECT F.fir_no, F.incident_date FROM FIR F JOIN VEHICLE_MASTER V ON F.vehicle_id = V.vehicle_id WHERE UPPER(V.vehicle_no) = 'KA05MN4567' AND LOWER(F.incident_type) = 'theft';"
"Show the number of FIRs by status for each police station.","SELECT PS.ps_name, F.status, COUNT(*) AS status_count FROM FIR F JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id GROUP BY PS.ps_name, F.status ORDER BY PS.ps_name, F.status;"
"List FIRs where the incident description is empty or null.","SELECT fir_no, incident_date FROM FIR WHERE incident_description IS NULL OR TRIM(incident_description) = '';"
"Find the oldest officer in the force.","SELECT officer_name, date_of_birth FROM OFFICER ORDER BY date_of_birth ASC FETCH FIRST 1 ROW ONLY;"
"Count arrests of people under 18 for each incident type.","SELECT F.incident_type, COUNT(A.arrest_id) AS juvenile_arrests FROM FIR F JOIN ARREST A ON F.fir_id = A.fir_id WHERE A.age < 18 GROUP BY F.incident_type;"
"List all FIRs that involve a 'Lorry' in 'Kolkata'.","SELECT F.fir_no, F.incident_date FROM FIR F JOIN VEHICLE_MASTER V ON F.vehicle_id = V.vehicle_id JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id JOIN DISTRICT_MASTER D ON PS.district_code = D.district_code WHERE UPPER(V.vehicle_type) = 'LORRY' AND UPPER(D.district_name) = 'KOLKATA';"
"Find the average number of days an FIR stays open.","SELECT AVG(closed_date - incident_date) FROM FIR WHERE UPPER(status) = 'CLOSED';"
"Show all police stations in district code 'D12'.","SELECT ps_name FROM POLICE_STATION WHERE district_code = 'D12';"
"List FIRs filed by officers whose names end with 'Kumar'.","SELECT F.fir_no, O.officer_name FROM FIR F JOIN OFFICER O ON F.officer_id = O.officer_id WHERE UPPER(O.officer_name) LIKE '%KUMAR';"
"Find the number of FIRs where the incident happened at night (10 PM to 6 AM).","SELECT COUNT(*) FROM FIR WHERE TO_NUMBER(TO_CHAR(incident_date, 'HH24')) >= 22 OR TO_NUMBER(TO_CHAR(incident_date, 'HH24')) < 6;"
"Get FIRs that have an arrest record but are still marked as 'Unresolved'.","SELECT F.fir_no, F.status FROM FIR F JOIN ARREST A ON F.fir_id = A.fir_id WHERE UPPER(F.status) = 'UNRESOLVED' GROUP BY F.fir_no, F.status;"
"List all vehicle types and the count of each type involved in FIRs.","SELECT V.vehicle_type, COUNT(DISTINCT V.vehicle_id) AS count_of_vehicles FROM VEHICLE_MASTER V JOIN FIR F ON V.vehicle_id = F.vehicle_id GROUP BY V.vehicle_type ORDER BY count_of_vehicles DESC;"
"Find any accused person arrested more than twice.","SELECT accused_name, COUNT(*) AS arrest_count FROM ARREST GROUP BY accused_name HAVING COUNT(*) > 2;"
"Show the distribution of FIRs across different seasons (quarters) of 2024.","SELECT 'Q' || TO_CHAR(incident_date, 'Q') AS quarter, COUNT(*) FROM FIR WHERE EXTRACT(YEAR FROM incident_date) = 2024 GROUP BY TO_CHAR(incident_date, 'Q') ORDER BY quarter;"
"List all FIRs from the current year where the status is not 'Closed'.","SELECT fir_no, incident_date, status FROM FIR WHERE EXTRACT(YEAR FROM incident_date) = EXTRACT(YEAR FROM SYSDATE) AND UPPER(status) <> 'CLOSED';"
"Find the police station that processed the latest FIR.","SELECT PS.ps_name FROM FIR F JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id ORDER BY F.incident_date DESC FETCH FIRST 1 ROW ONLY;"
"Count the number of FIRs involving two-wheelers (Bike, Scooter).","SELECT COUNT(*) FROM FIR F JOIN VEHICLE_MASTER V ON F.vehicle_id = V.vehicle_id WHERE UPPER(V.vehicle_type) IN ('BIKE', 'SCOOTER');"
"Show FIRs where the accused is a female over 40.","SELECT F.fir_no, A.accused_name, A.age, A.gender FROM FIR F JOIN ARREST A ON F.fir_id = A.fir_id WHERE UPPER(A.gender) = 'FEMALE' AND A.age > 40;"
"List all FIRs that were filed on a Sunday in December 2024.","SELECT fir_no, incident_date FROM FIR WHERE EXTRACT(YEAR FROM incident_date) = 2024 AND EXTRACT(MONTH FROM incident_date) = 12 AND TO_CHAR(incident_date, 'DY', 'NLS_DATE_LANGUAGE=AMERICAN') = 'SUN';"
"Find the district with the fewest FIRs overall.","SELECT D.district_name, COUNT(F.fir_id) AS fir_count FROM DISTRICT_MASTER D LEFT JOIN POLICE_STATION PS ON D.district_code = PS.district_code LEFT JOIN FIR F ON PS.police_station_id = F.police_station_id GROUP BY D.district_name ORDER BY fir_count ASC FETCH FIRST 1 ROW ONLY;"
"Get the names of all accused persons arrested for 'fraud' in 2025.","SELECT A.accused_name FROM ARREST A JOIN FIR F ON A.fir_id = F.fir_id WHERE LOWER(F.incident_type) = 'fraud' AND EXTRACT(YEAR FROM A.arrest_date) = 2025;"
"List all unique combinations of vehicle type and color in the database.","SELECT DISTINCT vehicle_type, color FROM VEHICLE_MASTER ORDER BY vehicle_type, color;"
"Find officers who have only ever handled 'theft' cases.","SELECT O.officer_name FROM OFFICER O JOIN FIR F ON O.officer_id = F.officer_id GROUP BY O.officer_name HAVING COUNT(DISTINCT F.incident_type) = 1 AND MIN(LOWER(F.incident_type)) = 'theft';"
"Show the trend of FIRs filed over the last 6 months.","SELECT TO_CHAR(incident_date, 'YYYY-MM') AS month, COUNT(*) AS fir_count FROM FIR WHERE incident_date >= ADD_MONTHS(TRUNC(SYSDATE, 'MM'), -6) GROUP BY TO_CHAR(incident_date, 'YYYY-MM') ORDER BY month;"
"Rank police stations by the number of 'burglary' cases they handled in 2024.","SELECT PS.ps_name, COUNT(F.fir_id) AS burglary_cases, DENSE_RANK() OVER (ORDER BY COUNT(F.fir_id) DESC) as crime_rank FROM FIR F JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id WHERE LOWER(F.incident_type) = 'burglary' AND EXTRACT(YEAR FROM F.incident_date) = 2024 GROUP BY PS.ps_name;"
"Find all vehicles reported missing but not yet recovered.","SELECT vehicle_no, vehicle_type FROM VEHICLE_MASTER WHERE UPPER(vehicle_status) = 'MISSING';"
"List the FIRs for which the first arrest took more than 30 days after the incident.","SELECT F.fir_no, F.incident_date, MIN(A.arrest_date) AS first_arrest_date FROM FIR F JOIN ARREST A ON F.fir_id = A.fir_id GROUP BY F.fir_no, F.incident_date HAVING MIN(A.arrest_date) > F.incident_date + 30;"
"Get a count of all records in each major table.","SELECT 'FIR' as table_name, COUNT(*) FROM FIR UNION ALL SELECT 'OFFICER', COUNT(*) FROM OFFICER UNION ALL SELECT 'POLICE_STATION', COUNT(*) FROM POLICE_STATION UNION ALL SELECT 'VEHICLE_MASTER', COUNT(*) FROM VEHICLE_MASTER UNION ALL SELECT 'ARREST', COUNT(*) FROM ARREST;"
"Find the second most common incident type.","SELECT incident_type FROM (SELECT incident_type, COUNT(*) as icount, ROW_NUMBER() OVER (ORDER BY COUNT(*) DESC) as rn FROM FIR GROUP BY incident_type) WHERE rn = 2;"
"List officers and the districts they have worked in.","SELECT O.officer_name, LISTAGG(DISTINCT D.district_name, ', ') WITHIN GROUP (ORDER BY D.district_name) AS districts FROM OFFICER O JOIN FIR F ON O.officer_id = F.officer_id JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id JOIN DISTRICT_MASTER D ON PS.district_code = D.district_code GROUP BY O.officer_name;"
"Show the total number of FIRs filed on the 15th of any month.","SELECT COUNT(*) FROM FIR WHERE EXTRACT(DAY FROM incident_date) = 15;"

